Competition,Team,Total_Game,Victory,Defeat,Win_Rate,Total_Kills,Total_deaths
2019 LPL Spring,IG,42,30,12,0.714285714,735,605
2019 LCK Spring,SKT T1/T1,50,37,13,0.74,610,415
2019 MSI,IG,14,10,4,0.714285714,253,223
2019 LPL Summer,FPX,41,35,6,0.853658537,742,431
2019 LCK Summer,SKT T1/T1,56,37,19,0.660714286,672,476
2019 Worlds,FPX,18,14,4,0.777777778,335,200
2020 LPL Spring,JDG,44,32,12,0.727272727,629,409
2020 LCK Spring,SKT T1/T1,51,36,15,0.705882353,617,388
2020 MSC,TES,10,8,2,0.8,177,103
2020 LPL Summer,TES,45,33,12,0.733333333,747,545
2020 LCK Summer,DWG/DK,42,37,5,0.880952381,701,315
2020 Worlds,DWG/DK,17,14,3,0.823529412,282,167
